time	x_norm	y_norm	confidence
0.000000	0.524	0.430	0.98999999999999999
0.010463	0.524	0.430	1.0
0.020926	0.524	0.428	1.0
0.031389	0.523	0.424	1.0
0.041852	0.523	0.426	1.0
0.052315	0.524	0.426	1.0
0.062778	0.523	0.427	1.0
0.073241	0.522	0.428	1.0
0.083704	0.522	0.428	1.0
0.094167	0.522	0.426	1.0
0.104630	0.522	0.426	1.0
0.115093	0.522	0.427	1.0
0.125556	0.521	0.429	1.0
0.136019	0.521	0.431	1.0
0.146482	0.520	0.430	1.0
0.156945	0.520	0.430	1.0
0.167409	0.520	0.430	1.0
0.177872	0.520	0.430	1.0
0.188335	0.521	0.427	1.0
0.198798	0.521	0.428	1.0
0.209261	0.520	0.425	1.0
0.219724	0.521	0.426	1.0
0.230187	0.521	0.424	1.0
0.240650	0.521	0.423	1.0
0.251113	0.515	0.421	1.0
0.261576	0.482	0.408	1.0
0.272039	0.420	0.397	0.98999999999999999
0.282502	0.350	0.382	0.98999999999999999
0.292965	0.321	0.373	1.0
0.303428	0.320	0.380	1.0
0.313891	0.319	0.381	1.0
0.324354	0.317	0.381	1.0
0.334817	0.317	0.383	1.0
0.345280	0.315	0.386	1.0
0.355743	0.315	0.385	1.0
0.366206	0.313	0.390	1.0
0.376669	0.312	0.393	1.0
0.387132	0.310	0.394	1.0
0.397595	0.311	0.391	1.0
0.408058	0.307	0.393	1.0
0.418521	0.308	0.397	1.0
0.428985	0.307	0.397	1.0
0.439448	0.300	0.400	1.0
0.449911	0.269	0.404	1.0
0.460374	0.240	0.401	1.0
0.470837	0.230	0.404	1.0
0.481300	0.231	0.403	1.0
0.491763	0.231	0.402	1.0
0.502226	0.228	0.407	1.0
0.512689	0.229	0.407	1.0
0.523152	0.229	0.409	1.0
0.533615	0.229	0.409	1.0
0.544078	0.229	0.409	1.0
0.554541	0.229	0.408	1.0
1.067230	0.463	0.356	0.98999999999999999
1.077693	0.467	0.357	1.0
1.088156	0.517	0.358	0.98999999999999999
1.098619	0.586	0.360	0.98999999999999999
1.109082	0.615	0.364	1.0
1.119545	0.630	0.372	1.0
1.130008	0.626	0.374	1.0
1.140471	0.627	0.375	1.0
1.150934	0.626	0.376	1.0
1.161397	0.624	0.377	1.0
1.171860	0.623	0.379	1.0
1.182323	0.623	0.381	1.0
1.192786	0.622	0.383	1.0
1.203249	0.622	0.383	1.0
1.213713	0.622	0.383	1.0
1.224176	0.621	0.387	1.0
1.234639	0.620	0.388	1.0
1.245102	0.621	0.389	1.0
1.255565	0.622	0.389	1.0
1.266028	0.622	0.387	1.0
1.276491	0.622	0.387	1.0
1.286954	0.623	0.386	1.0
1.297417	0.623	0.386	1.0
1.307880	0.623	0.386	1.0
1.318343	0.624	0.385	1.0
1.328806	0.624	0.388	1.0
1.339269	0.624	0.387	1.0
1.349732	0.623	0.389	1.0
1.360195	0.622	0.391	1.0
1.370658	0.622	0.392	1.0
1.381121	0.623	0.391	1.0
1.391584	0.622	0.392	1.0
1.402047	0.622	0.390	1.0
1.412510	0.624	0.388	1.0
1.422973	0.644	0.385	1.0
1.433436	0.695	0.382	0.98999999999999999
1.443899	0.740	0.375	0.98999999999999999
1.454362	0.751	0.375	1.0
1.464825	0.749	0.376	1.0
1.475289	0.749	0.377	1.0
1.485752	0.748	0.377	1.0
1.496215	0.746	0.376	1.0
1.506678	0.746	0.377	1.0
1.517141	0.745	0.379	1.0
1.527604	0.745	0.380	1.0
1.538067	0.745	0.380	1.0
1.548530	0.745	0.383	1.0
1.558993	0.744	0.385	1.0
1.569456	0.744	0.385	1.0
1.579919	0.744	0.385	1.0
1.590382	0.743	0.385	1.0
1.600845	0.744	0.386	1.0
1.611308	0.743	0.388	1.0
1.621771	0.738	0.388	1.0
1.632234	0.690	0.379	0.98999999999999999
1.642697	0.614	0.361	0.98999999999999999
1.653160	0.532	0.356	0.98999999999999999
1.663623	0.482	0.353	0.98999999999999999
1.674086	0.484	0.356	1.0
1.684549	0.482	0.357	1.0
1.695012	0.482	0.356	1.0
1.705475	0.483	0.358	1.0
1.715938	0.483	0.357	1.0
1.726401	0.484	0.360	1.0
1.736865	0.483	0.359	1.0
1.747328	0.483	0.361	1.0
1.757791	0.484	0.362	1.0
1.768254	0.483	0.363	1.0
1.778717	0.483	0.365	1.0
1.789180	0.482	0.365	1.0
1.799643	0.483	0.366	1.0
1.810106	0.483	0.367	1.0
1.820569	0.484	0.368	1.0
1.831032	0.485	0.368	1.0
1.841495	0.490	0.366	1.0
1.851958	0.503	0.355	1.0
1.862421	0.525	0.338	1.0
1.872884	0.528	0.374	0.29429738109580095
1.883347	0.285	0.090	0.0
1.893810	0.285	0.090	0.0
1.904273	0.285	0.090	0.0
1.914736	0.285	0.090	0.0
1.925199	0.285	0.090	0.0
1.935662	0.285	0.090	0.0
1.946125	0.285	0.090	0.0
1.956588	0.497	0.452	0.33365379675171131
1.967051	0.497	0.366	0.83562177654907699
1.977514	0.494	0.372	1.0
1.987977	0.499	0.413	1.0
1.998441	0.495	0.413	1.0
2.008904	0.492	0.413	1.0
2.019367	0.492	0.411	1.0
2.029830	0.487	0.411	1.0
2.040293	0.485	0.413	1.0
2.050756	0.484	0.418	1.0
2.061219	0.481	0.424	1.0
2.071682	0.476	0.432	1.0
2.082145	0.473	0.439	1.0
2.092608	0.468	0.440	1.0
2.103071	0.467	0.437	1.0
2.113534	0.463	0.434	1.0
2.123997	0.463	0.433	1.0
2.134460	0.462	0.431	1.0
2.144923	0.463	0.432	1.0
2.155386	0.463	0.437	1.0
2.165849	0.464	0.438	1.0
2.176312	0.464	0.440	1.0
2.186775	0.464	0.450	1.0
