time	x_norm	y_norm	confidence
0.000000	0.613	0.796	0.98999999999999999
0.295621	0.453	0.758	0.98999999999999999
0.299742	0.452	0.765	1.0
0.304807	0.452	0.763	1.0
0.316837	0.451	0.761	1.0
0.324805	0.451	0.762	1.0
0.336813	0.450	0.761	1.0
0.348820	0.450	0.762	1.0
0.356759	0.449	0.761	1.0
0.368802	0.450	0.760	1.0
0.380805	0.450	0.759	1.0
0.388800	0.445	0.745	1.0
0.400772	0.414	0.642	0.98999999999999999
0.408765	0.397	0.599	1.0
0.420812	0.388	0.586	1.0
0.432825	0.389	0.589	1.0
0.440821	0.389	0.583	1.0
0.452814	0.388	0.580	1.0
0.460758	0.388	0.583	1.0
0.472819	0.388	0.584	1.0
0.484785	0.389	0.585	1.0
0.492769	0.388	0.586	1.0
0.504811	0.388	0.583	1.0
0.516832	0.386	0.582	1.0
0.524818	0.386	0.580	1.0
0.536810	0.380	0.582	1.0
0.544767	0.337	0.581	0.98999999999999999
0.556794	0.316	0.573	1.0
0.568811	0.310	0.574	1.0
0.576803	0.310	0.572	1.0
0.588777	0.309	0.574	1.0
0.596768	0.309	0.577	1.0
0.608817	0.309	0.578	1.0
0.620807	0.309	0.578	1.0
0.628755	0.309	0.580	1.0
0.640805	0.309	0.581	1.0
0.652811	0.309	0.579	1.0
0.660809	0.309	0.579	1.0
0.672819	0.309	0.580	1.0
0.680842	0.308	0.581	1.0
0.692775	0.309	0.579	1.0
0.704814	0.308	0.580	1.0
0.712806	0.308	0.577	1.0
0.724806	0.309	0.578	1.0
0.732773	0.309	0.580	1.0
0.744815	0.309	0.579	1.0
0.756804	0.309	0.579	1.0
0.764812	0.309	0.580	1.0
0.776774	0.308	0.576	1.0
0.788809	0.308	0.576	1.0
0.796777	0.308	0.576	1.0
0.808812	0.308	0.576	1.0
0.816774	0.309	0.579	1.0
0.828828	0.308	0.579	1.0
0.840806	0.309	0.577	1.0
0.848877	0.329	0.568	1.0
0.860799	0.390	0.566	0.98999999999999999
0.868787	0.401	0.563	1.0
0.880808	0.393	0.566	1.0
0.892811	0.398	0.567	1.0
0.900762	0.401	0.569	1.0
0.912809	0.401	0.568	1.0
0.924798	0.399	0.567	1.0
0.932820	0.400	0.567	1.0
0.944811	0.400	0.567	1.0
0.952757	0.401	0.566	1.0
0.964851	0.399	0.569	1.0
0.976812	0.400	0.569	1.0
0.984807	0.400	0.569	1.0
0.996813	0.401	0.572	1.0
1.004770	0.401	0.569	1.0
1.016810	0.400	0.570	1.0
1.028805	0.402	0.569	1.0
1.036779	0.401	0.568	1.0
1.048865	0.398	0.565	1.0
1.060814	0.396	0.567	1.0
1.068772	0.398	0.565	1.0
1.080821	0.397	0.562	1.0
1.088751	0.397	0.566	1.0
1.100805	0.398	0.567	1.0
1.112819	0.397	0.565	1.0
1.120814	0.396	0.565	1.0
1.132811	0.397	0.566	1.0
1.140804	0.411	0.558	1.0
1.152823	0.470	0.548	0.98999999999999999
1.164874	0.489	0.549	1.0
1.172768	0.487	0.552	1.0
1.184815	0.487	0.549	1.0
1.196794	0.488	0.544	1.0
1.204824	0.488	0.546	1.0
1.216825	0.489	0.548	1.0
1.224777	0.488	0.552	1.0
1.236826	0.488	0.556	1.0
1.248874	0.488	0.555	1.0
1.256812	0.488	0.557	1.0
1.268817	0.488	0.555	1.0
1.276811	0.487	0.556	1.0
1.288813	0.488	0.555	1.0
1.300818	0.487	0.556	1.0
1.308784	0.488	0.557	1.0
1.320827	0.488	0.557	1.0
1.332782	0.489	0.556	1.0
1.340827	0.489	0.556	1.0
1.352819	0.491	0.557	1.0
1.360760	0.491	0.557	1.0
1.372819	0.491	0.558	1.0
1.384815	0.491	0.556	1.0
1.392813	0.506	0.550	1.0
1.404839	0.561	0.544	0.98999999999999999
1.412782	0.565	0.548	1.0
1.424778	0.562	0.552	1.0
1.436786	0.564	0.549	1.0
1.444771	0.565	0.547	1.0
1.456810	0.565	0.549	1.0
1.468823	0.564	0.546	1.0
1.476813	0.565	0.549	1.0
1.488820	0.565	0.552	1.0
1.496792	0.565	0.554	1.0
1.508831	0.565	0.553	1.0
1.520784	0.566	0.553	1.0
1.528815	0.565	0.554	1.0
1.540819	0.564	0.554	1.0
1.548813	0.565	0.556	1.0
1.560807	0.564	0.556	1.0
1.572810	0.565	0.558	1.0
1.580776	0.565	0.557	1.0
1.592771	0.564	0.556	1.0
1.605705	0.565	0.558	1.0
1.612820	0.565	0.558	1.0
1.624807	0.564	0.557	1.0
1.632883	0.565	0.560	1.0
1.644807	0.565	0.558	1.0
1.656803	0.564	0.558	1.0
1.664882	0.565	0.560	1.0
1.676774	0.564	0.557	1.0
1.684784	0.564	0.559	1.0
1.696796	0.564	0.558	1.0
1.708816	0.564	0.557	1.0
1.716828	0.564	0.558	1.0
1.728809	0.564	0.558	1.0
1.740806	0.564	0.559	1.0
1.748854	0.564	0.559	1.0
1.760800	0.564	0.560	1.0
1.768779	0.578	0.547	1.0
1.780812	0.586	0.546	1.0
1.792814	0.573	0.554	1.0
1.800822	0.560	0.556	1.0
1.812816	0.545	0.556	1.0
1.820803	0.515	0.557	1.0
1.832816	0.497	0.552	1.0
1.844803	0.497	0.550	1.0
1.852820	0.497	0.553	1.0
1.864954	0.496	0.555	1.0
1.876819	0.496	0.558	1.0
1.884782	0.495	0.560	1.0
1.896826	0.495	0.558	1.0
1.904770	0.494	0.559	1.0
1.916969	0.494	0.558	1.0
1.928793	0.493	0.558	1.0
1.936849	0.493	0.561	1.0
1.948818	0.491	0.560	1.0
1.956782	0.491	0.561	1.0
1.968804	0.491	0.563	1.0
1.980792	0.491	0.562	1.0
1.988810	0.491	0.563	1.0
2.000807	0.491	0.562	1.0
2.012807	0.491	0.564	1.0
2.020812	0.492	0.565	1.0
2.032818	0.491	0.564	1.0
2.040773	0.491	0.564	1.0
2.052783	0.491	0.565	1.0
2.064878	0.490	0.566	1.0
2.072784	0.491	0.567	1.0
2.084825	0.491	0.566	1.0
2.096870	0.490	0.562	1.0
2.104806	0.491	0.562	1.0
2.116822	0.491	0.566	1.0
2.124814	0.497	0.563	1.0
2.136834	0.524	0.562	1.0
2.148793	0.549	0.558	1.0
2.156773	0.552	0.557	1.0
2.168815	0.551	0.559	1.0
2.176757	0.552	0.559	1.0
2.188815	0.552	0.560	1.0
2.200838	0.552	0.561	1.0
2.208817	0.553	0.562	1.0
2.220818	0.552	0.564	1.0
2.232769	0.552	0.564	1.0
2.240787	0.552	0.564	1.0
2.252835	0.551	0.566	1.0
2.260814	0.551	0.566	1.0
2.272815	0.551	0.568	1.0
2.284817	0.551	0.566	1.0
2.292814	0.552	0.569	1.0
2.304804	0.552	0.569	1.0
2.312784	0.552	0.571	1.0
2.324826	0.552	0.571	1.0
2.336794	0.552	0.571	1.0
2.344768	0.551	0.572	1.0
2.356815	0.552	0.571	1.0
2.368803	0.552	0.571	1.0
2.376810	0.551	0.573	1.0
2.388814	0.551	0.572	1.0
2.396902	0.551	0.576	1.0
2.408825	0.552	0.576	1.0
2.420775	0.551	0.576	1.0
2.428780	0.551	0.574	1.0
2.440812	0.551	0.575	1.0
2.448796	0.551	0.575	1.0
2.460800	0.551	0.576	1.0
2.472809	0.551	0.576	1.0
2.480823	0.551	0.577	1.0
2.492808	0.551	0.576	1.0
2.504798	0.550	0.575	1.0
2.512786	0.550	0.575	1.0
2.524780	0.550	0.576	1.0
2.532766	0.552	0.580	1.0
2.544813	0.554	0.583	1.0
2.556809	0.556	0.577	1.0
2.564846	0.561	0.566	1.0
2.576812	0.571	0.556	1.0
2.584811	0.585	0.547	1.0
2.596792	0.607	0.562	0.73850909582271218
2.608782	0.242	0.002	0.18006199861884337
