time	x_norm	y_norm	confidence
0.000000	0.211	0.330	0.98999999999999999
0.006040	0.223	0.342	1.0
0.014490	0.227	0.351	1.0
0.022443	0.228	0.352	1.0
0.034489	0.385	0.334	1.0
0.046621	0.386	0.334	1.0
0.054591	0.386	0.333	1.0
0.066493	0.385	0.332	1.0
0.074435	0.385	0.333	1.0
0.086469	0.385	0.332	1.0
0.098449	0.386	0.331	1.0
0.106487	0.386	0.332	1.0
0.118527	0.386	0.330	1.0
0.126472	0.386	0.330	1.0
0.138483	0.386	0.332	1.0
0.150511	0.386	0.330	1.0
0.158440	0.386	0.333	1.0
0.170498	0.385	0.330	1.0
0.182457	0.384	0.329	1.0
0.190484	0.383	0.330	1.0
0.202497	0.384	0.332	1.0
0.210430	0.384	0.333	1.0
0.222490	0.384	0.333	1.0
0.234492	0.385	0.334	1.0
0.242491	0.384	0.333	1.0
0.254456	0.384	0.331	1.0
0.262444	0.384	0.335	1.0
0.274475	0.384	0.336	1.0
0.286502	0.384	0.338	1.0
0.294452	0.384	0.341	1.0
0.306487	0.384	0.344	1.0
0.318561	0.384	0.346	1.0
0.326480	0.384	0.344	1.0
0.338450	0.384	0.351	1.0
0.346439	0.376	0.437	0.98999999999999999
0.358448	0.361	0.520	0.98999999999999999
0.370502	0.348	0.537	1.0
0.378482	0.308	0.620	0.48642048704894325
0.390483	0.301	0.597	0.59056980933952929
0.398484	0.325	0.573	1.0
0.410490	0.321	0.582	1.0
0.422487	0.318	0.590	1.0
0.430480	0.317	0.597	1.0
0.442445	0.317	0.595	1.0
0.454512	0.316	0.595	1.0
0.462499	0.315	0.595	1.0
0.474503	0.315	0.595	1.0
0.482451	0.314	0.596	1.0
0.494482	0.314	0.597	1.0
0.506499	0.313	0.597	1.0
0.514546	0.313	0.598	1.0
0.526465	0.312	0.600	1.0
0.534472	0.312	0.601	1.0
0.546446	0.309	0.604	1.0
0.558512	0.298	0.612	1.0
0.566495	0.291	0.626	1.0
0.578489	0.290	0.625	1.0
0.590492	0.289	0.626	1.0
0.598477	0.288	0.629	1.0
0.610481	0.288	0.628	1.0
0.618539	0.288	0.631	1.0
0.630459	0.288	0.633	1.0
0.642511	0.287	0.631	1.0
0.650511	0.287	0.633	1.0
0.662490	0.287	0.632	1.0
0.670500	0.287	0.632	1.0
0.682594	0.286	0.631	1.0
0.694482	0.286	0.629	1.0
0.702505	0.286	0.629	1.0
0.714447	0.286	0.627	1.0
0.726506	0.286	0.628	1.0
0.734488	0.286	0.631	1.0
0.746503	0.286	0.630	1.0
0.754453	0.286	0.629	1.0
0.766486	0.286	0.626	1.0
0.778474	0.285	0.628	1.0
0.786516	0.285	0.634	1.0
0.798524	0.286	0.631	1.0
0.810498	0.286	0.631	1.0
0.818468	0.286	0.630	1.0
0.830500	0.297	0.613	1.0
0.838496	0.315	0.596	1.0
0.850495	0.312	0.658	0.43156582512432057
0.862482	0.332	0.589	1.0
0.870493	0.333	0.592	1.0
0.882558	0.333	0.594	1.0
0.890448	0.333	0.595	1.0
0.902472	0.333	0.593	1.0
0.914469	0.334	0.594	1.0
0.922666	0.333	0.596	1.0
0.934538	0.333	0.594	1.0
0.946486	0.332	0.596	1.0
0.954508	0.333	0.596	1.0
0.966494	0.332	0.597	1.0
0.974490	0.332	0.596	1.0
0.986556	0.331	0.597	1.0
0.998462	0.331	0.596	1.0
1.006457	0.331	0.596	1.0
1.018533	0.331	0.596	1.0
1.026475	0.330	0.596	1.0
1.038493	0.331	0.596	1.0
1.050485	0.331	0.595	1.0
1.058486	0.335	0.591	1.0
1.070482	0.351	0.579	1.0
1.082605	0.365	0.573	1.0
1.090455	0.367	0.574	1.0
1.102477	0.366	0.576	1.0
1.110471	0.368	0.574	1.0
1.122486	0.371	0.574	1.0
1.134497	0.376	0.576	1.0
1.142480	0.380	0.577	1.0
1.154494	0.385	0.570	1.0
1.162442	0.387	0.571	0.89264255399843828
1.174454	0.388	0.633	0.54218762836112766
1.186455	0.389	0.629	0.54893598429738233
1.194447	0.389	0.630	0.5174575412186343
1.206498	0.379	0.610	0.46863557251594179
1.219093	0.368	0.592	0.33839401531336
1.226481	0.370	0.594	0.37685553179871095
1.238502	0.370	0.595	0.44248775755773728
1.246434	2.223	1.741	0.0
1.258490	0.388	0.569	0.98999999999999999
1.270473	0.387	0.567	1.0
1.278484	0.386	0.566	1.0
1.290499	0.385	0.563	1.0
1.298472	0.384	0.563	1.0
1.310481	0.383	0.561	1.0
1.322494	0.383	0.557	1.0
1.330442	0.382	0.558	1.0
1.342489	0.381	0.558	1.0
1.354507	0.381	0.559	1.0
1.362498	0.380	0.559	1.0
1.374462	0.379	0.559	1.0
1.382511	0.379	0.558	1.0
1.394479	0.379	0.557	1.0
1.406487	0.379	0.558	1.0
1.414478	0.379	0.556	1.0
1.426485	0.378	0.556	1.0
1.434506	0.378	0.556	1.0
1.446507	0.378	0.555	1.0
1.458507	0.378	0.556	1.0
1.466522	0.378	0.553	1.0
1.478483	0.378	0.553	1.0
1.490492	0.377	0.553	1.0
1.498489	0.377	0.553	1.0
1.510476	0.377	0.551	1.0
1.518517	0.383	0.546	1.0
1.530488	0.402	0.534	1.0
1.542501	0.417	0.525	1.0
1.550527	0.423	0.528	1.0
1.562453	0.422	0.533	1.0
1.570451	0.422	0.533	1.0
1.582523	0.421	0.531	1.0
1.594503	0.422	0.527	1.0
1.602461	0.422	0.527	1.0
1.614490	0.422	0.528	1.0
1.626501	0.421	0.530	1.0
1.634465	0.422	0.530	1.0
1.646464	0.421	0.529	1.0
1.654483	0.421	0.526	1.0
1.666470	0.421	0.526	1.0
1.678493	0.421	0.527	1.0
1.686520	0.421	0.527	1.0
1.698486	0.420	0.529	1.0
1.706447	0.420	0.530	1.0
1.718517	0.420	0.530	1.0
1.730492	0.420	0.530	1.0
1.738449	0.420	0.531	1.0
1.750781	0.420	0.532	1.0
1.762491	0.420	0.532	1.0
1.770498	0.420	0.533	1.0
1.782604	0.421	0.532	1.0
1.790441	0.420	0.533	1.0
1.802504	0.425	0.526	1.0
1.814481	0.459	0.514	0.98999999999999999
1.823050	0.476	0.510	1.0
1.834491	0.486	0.504	1.0
1.842456	0.491	0.509	1.0
1.854508	0.492	0.513	1.0
1.866500	0.492	0.510	1.0
1.874455	0.492	0.511	1.0
1.886515	0.491	0.512	1.0
1.898500	0.492	0.510	1.0
1.906464	0.492	0.508	1.0
1.918479	0.492	0.509	1.0
1.926453	0.492	0.510	1.0
1.938502	0.491	0.509	1.0
1.950496	0.492	0.508	1.0
1.958487	0.491	0.508	1.0
1.970505	0.491	0.506	1.0
1.978440	0.491	0.506	1.0
1.990500	0.491	0.507	1.0
2.002515	0.490	0.506	1.0
2.010455	0.491	0.507	1.0
2.022516	0.491	0.505	1.0
2.034575	0.490	0.507	1.0
2.042489	0.490	0.506	1.0
2.054502	0.491	0.507	1.0
2.062444	0.490	0.507	1.0
2.074497	0.489	0.509	1.0
2.086508	0.495	0.504	1.0
2.094460	0.522	0.488	1.0
2.106473	0.543	0.485	1.0
2.114467	0.547	0.483	1.0
2.126496	0.547	0.483	1.0
2.138502	0.547	0.483	1.0
2.146453	0.547	0.485	1.0
2.158486	0.547	0.481	1.0
2.170498	0.547	0.479	1.0
2.178477	0.547	0.479	1.0
2.190504	0.547	0.479	1.0
2.198450	0.547	0.480	1.0
2.210490	0.546	0.482	1.0
2.222501	0.546	0.481	1.0
2.230483	0.545	0.480	1.0
2.242490	0.545	0.481	1.0
2.250570	0.544	0.484	1.0
2.262481	0.545	0.481	1.0
2.274470	0.543	0.485	1.0
2.282471	0.552	0.482	1.0
2.294458	0.580	0.476	1.0
2.306511	0.603	0.477	1.0
2.314496	0.606	0.478	1.0
2.326505	0.606	0.478	1.0
2.334464	0.606	0.476	1.0
2.346485	0.606	0.474	1.0
2.358497	0.606	0.475	1.0
2.366501	0.606	0.473	1.0
2.378469	0.606	0.474	1.0
2.386487	0.606	0.474	1.0
2.398498	0.605	0.474	1.0
2.410489	0.605	0.474	1.0
2.418598	0.605	0.476	1.0
2.430487	0.605	0.475	1.0
2.442486	0.605	0.475	1.0
2.450522	0.604	0.472	1.0
2.462452	0.604	0.472	1.0
2.470468	0.604	0.473	1.0
2.482529	0.604	0.472	1.0
2.494489	0.604	0.474	1.0
2.502501	0.604	0.473	1.0
2.514479	0.605	0.474	1.0
2.522488	0.604	0.474	1.0
2.534565	0.603	0.473	1.0
2.546489	0.603	0.473	1.0
2.554451	0.604	0.475	1.0
2.566449	0.604	0.475	1.0
2.578486	0.604	0.476	1.0
2.586493	0.604	0.478	1.0
2.598488	0.604	0.477	1.0
2.606445	0.604	0.476	1.0
2.618581	0.604	0.478	1.0
2.630487	0.605	0.478	1.0
2.638500	0.605	0.480	1.0
2.650543	0.604	0.479	1.0
2.658462	0.606	0.477	1.0
2.670512	0.633	0.467	1.0
2.682531	0.675	0.470	0.98999999999999999
2.690485	0.702	0.469	1.0
2.702545	0.719	0.469	1.0
2.714477	0.718	0.469	1.0
2.722513	0.717	0.472	1.0
2.734524	0.719	0.471	1.0
2.742453	0.718	0.471	1.0
2.754456	0.718	0.469	1.0
2.766498	0.718	0.470	1.0
2.774482	0.719	0.470	1.0
2.786502	0.719	0.470	1.0
2.794484	0.720	0.470	1.0
2.806498	0.720	0.470	1.0
2.818524	0.720	0.471	1.0
2.826461	0.720	0.470	1.0
2.838463	0.720	0.469	1.0
2.850547	0.720	0.470	1.0
2.858490	0.720	0.471	1.0
2.870501	0.726	0.466	1.0
2.878449	0.752	0.469	1.0
2.890490	0.768	0.472	1.0
2.902502	0.772	0.471	1.0
2.910467	0.771	0.471	1.0
2.922509	0.772	0.471	1.0
2.934540	0.772	0.470	1.0
2.942452	0.772	0.471	1.0
2.954499	0.772	0.472	1.0
2.962465	0.773	0.472	1.0
2.974503	0.773	0.473	1.0
2.986543	0.773	0.473	1.0
2.994483	0.773	0.472	1.0
3.006499	0.773	0.471	1.0
3.014464	0.773	0.472	1.0
3.026472	0.773	0.472	1.0
3.038500	0.773	0.473	1.0
3.046492	0.774	0.474	1.0
3.058489	0.774	0.472	1.0
3.070501	0.774	0.470	1.0
3.078497	0.774	0.468	1.0
3.090502	0.775	0.470	1.0
3.098491	0.774	0.471	1.0
3.110461	0.754	0.465	1.0
3.122510	0.665	0.440	0.98999999999999999
3.130453	0.578	0.435	0.98999999999999999
3.142497	0.504	0.437	0.98999999999999999
3.150472	0.482	0.427	1.0
3.162491	0.480	0.429	1.0
3.174506	0.481	0.429	1.0
3.182472	0.480	0.430	1.0
3.194493	0.479	0.433	1.0
3.206467	0.479	0.433	1.0
3.214465	0.480	0.436	1.0
3.226506	0.479	0.434	1.0
3.234545	0.480	0.437	1.0
3.246493	0.480	0.434	1.0
3.258496	0.480	0.435	1.0
3.266504	0.480	0.434	1.0
3.278499	0.480	0.434	1.0
3.286512	0.479	0.432	1.0
3.298460	0.479	0.431	1.0
3.310450	0.463	0.440	1.0
3.318474	0.442	0.448	1.0
3.330489	0.432	0.455	1.0
3.342496	0.433	0.454	1.0
3.350536	0.433	0.452	1.0
3.362487	0.432	0.450	1.0
3.370487	0.431	0.448	1.0
3.382512	0.432	0.446	1.0
3.394451	0.431	0.449	1.0
3.402488	0.431	0.450	1.0
3.414499	0.431	0.451	1.0
3.422462	0.431	0.449	1.0
3.434584	0.430	0.451	1.0
3.446496	0.430	0.448	1.0
3.454913	0.431	0.451	1.0
3.466514	0.430	0.451	1.0
3.478499	0.430	0.453	1.0
3.486530	0.431	0.455	1.0
3.498507	0.431	0.453	1.0
3.506451	0.425	0.460	1.0
3.518554	0.383	0.508	0.98999999999999999
3.530485	0.332	0.581	0.98999999999999999
3.538493	0.291	0.623	0.98999999999999999
3.550515	0.281	0.627	1.0
3.558455	0.278	0.633	1.0
3.570474	0.278	0.629	1.0
3.582550	0.277	0.634	1.0
3.590458	0.278	0.632	1.0
3.602505	0.277	0.632	1.0
3.614528	0.277	0.634	1.0
3.622494	0.276	0.634	1.0
3.634555	0.277	0.632	1.0
3.642452	0.276	0.632	1.0
3.654481	0.276	0.632	1.0
3.666508	0.276	0.632	1.0
3.674500	0.276	0.632	1.0
3.686509	0.276	0.631	1.0
3.694451	0.276	0.632	1.0
3.706499	0.276	0.631	1.0
3.718502	0.276	0.632	1.0
3.726455	0.277	0.631	1.0
3.738501	0.288	0.619	1.0
3.750542	0.295	0.611	1.0
3.758466	0.295	0.609	1.0
3.770515	0.293	0.611	1.0
3.778444	0.294	0.610	1.0
3.790497	0.293	0.609	1.0
3.802503	0.294	0.610	1.0
3.810492	0.293	0.609	1.0
3.822505	0.294	0.609	1.0
3.830451	0.294	0.611	1.0
3.842458	0.294	0.612	1.0
3.854514	0.294	0.615	1.0
3.862450	0.294	0.615	1.0
3.874493	0.300	0.606	1.0
3.886501	0.318	0.586	1.0
3.894483	0.331	0.576	1.0
3.906491	0.333	0.575	1.0
3.914453	0.332	0.580	1.0
3.926459	0.332	0.576	1.0
3.938520	0.332	0.578	1.0
3.946450	0.332	0.577	1.0
3.958500	0.331	0.575	1.0
3.966452	0.331	0.575	1.0
3.978482	0.331	0.573	1.0
3.990489	0.330	0.573	1.0
3.998507	0.330	0.575	1.0
4.010484	0.329	0.574	1.0
4.022507	0.329	0.572	1.0
4.030455	0.329	0.576	1.0
4.042504	0.330	0.578	1.0
4.050509	0.329	0.577	1.0
4.062495	0.328	0.580	1.0
4.074487	0.329	0.579	1.0
4.082496	0.330	0.578	1.0
4.094495	0.329	0.581	1.0
4.102469	0.329	0.581	1.0
4.114507	0.340	0.571	1.0
4.126483	0.356	0.557	1.0
4.134516	0.364	0.555	1.0
4.146488	0.365	0.556	1.0
4.158503	0.365	0.556	1.0
4.166512	0.364	0.553	1.0
4.178483	0.365	0.552	1.0
4.186448	0.364	0.553	1.0
4.198573	0.364	0.556	1.0
4.210503	0.364	0.554	1.0
4.218473	0.365	0.558	1.0
4.230497	0.365	0.555	1.0
4.238440	0.364	0.552	1.0
4.250499	0.364	0.550	1.0
4.262493	0.365	0.556	1.0
4.270458	0.364	0.555	1.0
4.282543	0.364	0.555	1.0
4.294452	0.364	0.558	1.0
4.302466	0.364	0.556	1.0
4.314516	0.364	0.559	1.0
4.322490	0.365	0.556	1.0
4.334546	0.369	0.556	1.0
4.346488	0.375	0.560	1.0
4.354544	0.384	0.571	1.0
4.366510	0.405	0.595	0.72463062487634278
4.374462	0.403	0.594	0.32290803761127712
4.386511	0.416	0.586	0.20028952422575516
4.398502	0.428	0.579	0.35689668478402437
4.406489	0.428	0.580	0.49621454327240078
4.418519	0.428	0.581	0.60296572656022296
4.430488	0.428	0.547	0.83664459199976871
4.438495	0.433	0.535	1.0
4.450536	0.432	0.546	1.0
4.458457	0.431	0.547	1.0
