time	x_norm	y_norm	confidence
0.000000	0.528	0.665	0.98999999999999999
0.010463	0.541	0.663	1.0
0.020926	0.541	0.663	1.0
0.031389	0.539	0.661	1.0
0.041852	0.538	0.660	1.0
0.052315	0.538	0.664	1.0
0.062779	0.538	0.666	1.0
0.073242	0.538	0.667	1.0
0.083705	0.538	0.670	1.0
0.094168	0.538	0.668	1.0
0.104631	0.538	0.667	1.0
0.115094	0.537	0.667	1.0
0.125557	0.538	0.668	1.0
0.136020	0.538	0.669	1.0
0.146483	0.537	0.669	1.0
0.156946	0.537	0.669	1.0
0.167409	0.537	0.670	1.0
0.177872	0.535	0.670	1.0
0.188335	0.536	0.671	1.0
0.198798	0.536	0.670	1.0
0.209261	0.537	0.672	1.0
0.219724	0.535	0.670	1.0
0.230187	0.536	0.672	1.0
0.240650	0.535	0.674	1.0
0.251113	0.514	0.650	1.0
0.261576	0.423	0.572	0.98999999999999999
0.272039	0.386	0.549	1.0
0.282502	0.378	0.542	1.0
0.292965	0.379	0.542	1.0
0.303428	0.378	0.542	1.0
0.313891	0.378	0.544	1.0
0.324355	0.377	0.549	1.0
0.334818	0.377	0.550	1.0
0.345281	0.375	0.550	1.0
0.355744	0.373	0.551	1.0
0.366207	0.372	0.554	1.0
0.376670	0.370	0.554	1.0
0.387133	0.370	0.556	1.0
0.397596	0.370	0.559	1.0
0.408059	0.365	0.556	1.0
0.418522	0.344	0.534	1.0
0.428985	0.341	0.527	1.0
0.439448	0.341	0.530	1.0
0.449911	0.341	0.531	1.0
0.460374	0.340	0.533	1.0
0.470837	0.340	0.534	1.0
0.481300	0.338	0.533	1.0
0.491763	0.339	0.535	1.0
0.502226	0.339	0.539	1.0
0.512689	0.338	0.539	1.0
0.523152	0.336	0.537	1.0
0.533615	0.335	0.540	1.0
0.544078	0.334	0.540	1.0
0.554541	0.334	0.538	1.0
0.565004	0.333	0.538	1.0
0.575467	0.333	0.538	1.0
0.585931	0.332	0.538	1.0
