time	x_norm	y_norm	confidence
0.000000	0.016	0.955	0.98999999999999999
0.010463	0.014	0.948	1.0
0.020926	0.017	0.947	1.0
0.031389	0.018	0.946	1.0
0.041852	0.018	0.948	1.0
0.052315	0.017	0.946	1.0
0.062778	0.017	0.942	1.0
0.073241	0.017	0.942	1.0
0.083704	0.017	0.941	1.0
0.094167	0.017	0.941	1.0
0.104630	0.018	0.942	1.0
0.115093	0.019	0.945	1.0
0.125556	0.021	0.947	1.0
0.136019	0.020	0.945	1.0
0.146482	0.019	0.945	1.0
0.156945	0.019	0.942	1.0
0.167408	0.019	0.943	1.0
0.177871	0.020	0.940	1.0
0.188334	0.019	0.943	1.0
0.198797	0.022	0.945	1.0
0.209261	0.022	0.943	1.0
0.219724	0.023	0.941	1.0
0.230187	0.022	0.942	1.0
0.240650	0.021	0.943	1.0
0.251113	0.021	0.948	1.0
0.261576	0.023	0.942	1.0
0.272039	0.021	0.944	1.0
0.282502	0.021	0.945	1.0
0.292965	0.019	0.941	1.0
0.303428	0.008	0.943	1.0
0.313891	0.005	0.938	1.0
0.324354	0.016	0.935	1.0
0.334817	0.016	0.933	1.0
0.345280	0.017	0.935	1.0
0.355743	0.014	0.937	1.0
0.366206	0.015	0.933	1.0
0.376669	0.015	0.934	1.0
0.387132	0.016	0.933	1.0
0.397595	0.013	0.934	1.0
0.408058	0.015	0.936	1.0
0.418521	0.015	0.937	1.0
0.428984	0.013	0.939	1.0
0.439447	0.012	0.939	1.0
0.449910	0.025	0.911	1.0
0.460373	0.134	0.823	0.98999999999999999
0.470837	0.238	0.620	0.98999999999999999
0.481300	0.338	0.462	0.98999999999999999
0.491763	0.369	0.418	1.0
0.502226	0.378	0.434	1.0
0.512689	0.384	0.430	1.0
0.523152	0.384	0.434	1.0
0.533615	0.385	0.437	1.0
0.544078	0.388	0.440	1.0
0.554541	0.387	0.442	1.0
0.565004	0.387	0.443	1.0
0.575467	0.388	0.441	1.0
0.585930	0.389	0.444	1.0
0.596393	0.389	0.447	1.0
0.606856	0.391	0.448	1.0
0.617319	0.390	0.448	1.0
0.627782	0.391	0.448	1.0
0.638245	0.392	0.450	1.0
0.648708	0.391	0.451	1.0
0.659171	0.388	0.458	1.0
0.669634	0.385	0.466	1.0
0.680097	0.382	0.469	1.0
0.690560	0.382	0.470	1.0
0.701023	0.384	0.466	1.0
0.711486	0.384	0.464	1.0
0.721949	0.383	0.465	1.0
0.732413	0.381	0.463	1.0
0.742876	0.382	0.465	1.0
0.753339	0.384	0.466	1.0
0.763802	0.384	0.468	1.0
0.774265	0.383	0.470	1.0
0.784728	0.383	0.470	1.0
0.795191	0.383	0.470	1.0
0.805654	0.382	0.471	1.0
0.816117	0.382	0.472	1.0
0.826580	0.383	0.474	1.0
0.837043	0.383	0.474	1.0
0.847506	0.382	0.476	1.0
0.857969	0.383	0.476	1.0
0.868432	0.383	0.477	1.0
0.878895	0.381	0.475	1.0
0.889358	0.408	0.464	1.0
0.899821	0.434	0.462	1.0
0.910284	0.441	0.460	1.0
0.920747	0.442	0.461	1.0
0.931210	0.441	0.463	1.0
0.941673	0.441	0.462	1.0
0.952136	0.442	0.463	1.0
0.962599	0.442	0.465	1.0
0.973062	0.441	0.467	1.0
0.983525	0.441	0.467	1.0
0.993989	0.441	0.465	1.0
1.004452	0.442	0.464	1.0
1.014915	0.443	0.464	1.0
1.025378	0.444	0.467	1.0
1.035841	0.444	0.472	1.0
1.046304	0.443	0.469	1.0
1.056767	0.444	0.469	1.0
1.067230	0.443	0.467	1.0
1.077693	0.443	0.470	1.0
1.088156	0.468	0.465	1.0
1.098619	0.502	0.472	1.0
1.109082	0.523	0.470	1.0
1.119545	0.522	0.470	1.0
1.130008	0.523	0.472	1.0
1.140471	0.523	0.473	1.0
1.150934	0.524	0.470	1.0
1.161397	0.524	0.472	1.0
1.171860	0.522	0.474	1.0
1.182323	0.523	0.476	1.0
1.192786	0.524	0.476	1.0
1.203249	0.524	0.476	1.0
1.213712	0.523	0.477	1.0
1.224175	0.524	0.478	1.0
1.234638	0.523	0.480	1.0
1.245101	0.524	0.480	1.0
1.255565	0.524	0.480	1.0
1.266028	0.524	0.481	1.0
1.276491	0.524	0.479	1.0
1.286954	0.524	0.480	1.0
1.297417	0.524	0.480	1.0
1.307880	0.523	0.479	1.0
1.318343	0.525	0.481	1.0
1.328806	0.525	0.481	1.0
1.339269	0.525	0.480	1.0
1.349732	0.525	0.480	1.0
1.360195	0.526	0.480	1.0
1.370658	0.524	0.480	1.0
1.381121	0.526	0.481	1.0
1.391584	0.526	0.480	1.0
1.402047	0.525	0.480	1.0
1.412510	0.546	0.474	1.0
1.422973	0.583	0.474	1.0
1.433436	0.600	0.475	1.0
1.443899	0.601	0.471	1.0
1.454362	0.600	0.472	1.0
1.464825	0.599	0.475	1.0
1.475288	0.599	0.475	1.0
1.485751	0.600	0.474	1.0
1.496214	0.600	0.473	1.0
1.506677	0.600	0.475	1.0
1.517141	0.600	0.474	1.0
1.527604	0.600	0.477	1.0
1.538067	0.600	0.478	1.0
1.548530	0.598	0.477	1.0
1.558993	0.599	0.475	1.0
1.569456	0.598	0.477	1.0
1.579919	0.600	0.479	1.0
1.590382	0.598	0.479	1.0
1.600845	0.599	0.477	1.0
1.611308	0.599	0.477	1.0
1.621771	0.599	0.477	1.0
1.632234	0.600	0.474	1.0
1.642697	0.598	0.477	1.0
1.653160	0.600	0.476	1.0
1.663623	0.599	0.477	1.0
1.674086	0.600	0.481	1.0
1.684549	0.599	0.479	1.0
1.695012	0.598	0.479	1.0
1.705475	0.597	0.477	1.0
1.715938	0.597	0.479	1.0
1.726401	0.598	0.480	1.0
1.736864	0.597	0.476	1.0
1.747327	0.597	0.458	1.0
1.757790	0.589	0.440	1.0
1.768253	0.588	0.439	1.0
1.778717	0.588	0.440	1.0
1.789180	0.589	0.438	1.0
1.799643	0.589	0.440	1.0
1.810106	0.589	0.439	1.0
1.820569	0.588	0.439	1.0
1.831032	0.589	0.441	1.0
1.841495	0.588	0.440	1.0
1.851958	0.588	0.438	1.0
1.862421	0.589	0.441	1.0
1.872884	0.588	0.444	1.0
1.883347	0.589	0.444	1.0
1.893810	0.589	0.442	1.0
1.904273	0.559	0.432	1.0
1.914736	0.446	0.412	0.98999999999999999
1.925199	0.354	0.422	0.98999999999999999
1.935662	0.330	0.416	1.0
1.946125	0.317	0.432	1.0
1.956588	0.310	0.434	1.0
1.967051	0.310	0.437	1.0
1.977514	0.310	0.440	1.0
1.987977	0.310	0.443	1.0
1.998440	0.310	0.444	1.0
2.008903	0.310	0.445	1.0
2.019366	0.310	0.446	1.0
2.029829	0.310	0.447	1.0
2.040293	0.310	0.446	1.0
2.050756	0.311	0.445	1.0
2.061219	0.310	0.447	1.0
2.071682	0.310	0.449	1.0
2.082145	0.311	0.452	1.0
2.092608	0.310	0.450	1.0
2.103071	0.310	0.453	1.0
2.113534	0.311	0.451	1.0
2.123997	0.311	0.453	1.0
2.134460	0.310	0.453	1.0
2.144923	0.312	0.456	1.0
2.155386	0.338	0.455	1.0
2.165849	0.359	0.450	1.0
2.176312	0.366	0.445	1.0
2.186775	0.366	0.446	1.0
2.197238	0.367	0.449	1.0
2.207701	0.367	0.448	1.0
2.218164	0.366	0.447	1.0
2.228627	0.367	0.447	1.0
2.239090	0.367	0.447	1.0
2.249553	0.367	0.445	1.0
2.260016	0.365	0.448	1.0
2.270479	0.366	0.447	1.0
2.280942	0.366	0.450	1.0
2.291405	0.366	0.450	1.0
2.301869	0.367	0.453	1.0
2.312332	0.384	0.445	1.0
2.322795	0.414	0.446	1.0
2.333258	0.432	0.445	1.0
2.343721	0.433	0.445	1.0
2.354184	0.433	0.446	1.0
2.364647	0.432	0.448	1.0
2.375110	0.433	0.447	1.0
2.385573	0.433	0.450	1.0
2.396036	0.432	0.451	1.0
2.406499	0.432	0.449	1.0
2.416962	0.433	0.448	1.0
2.427425	0.433	0.449	1.0
2.437888	0.433	0.450	1.0
2.448351	0.435	0.449	1.0
2.458814	0.434	0.450	1.0
2.469277	0.434	0.449	1.0
2.479740	0.434	0.448	1.0
2.490203	0.433	0.449	1.0
2.500666	0.434	0.448	1.0
2.511129	0.433	0.448	1.0
2.521592	0.442	0.442	1.0
2.532055	0.478	0.435	1.0
2.542518	0.492	0.435	1.0
2.552981	0.489	0.433	1.0
2.563445	0.488	0.433	1.0
2.573908	0.488	0.435	1.0
2.584371	0.489	0.435	1.0
2.594834	0.490	0.435	1.0
2.605297	0.490	0.438	1.0
2.615760	0.490	0.441	1.0
2.626223	0.490	0.441	1.0
2.636686	0.489	0.438	1.0
2.647149	0.489	0.437	1.0
2.657612	0.488	0.439	1.0
2.668075	0.489	0.438	1.0
2.678538	0.489	0.439	1.0
2.689001	0.489	0.441	1.0
2.699464	0.490	0.440	1.0
2.709927	0.490	0.439	1.0
2.720390	0.490	0.441	1.0
2.730853	0.490	0.440	1.0
2.741316	0.490	0.441	1.0
2.751779	0.489	0.442	1.0
2.762242	0.490	0.441	1.0
2.772705	0.499	0.438	1.0
2.783168	0.536	0.434	1.0
2.793631	0.557	0.430	1.0
2.804094	0.556	0.434	1.0
2.814557	0.554	0.438	1.0
2.825021	0.554	0.438	1.0
2.835484	0.556	0.440	1.0
2.845947	0.555	0.436	1.0
2.856410	0.555	0.437	1.0
2.866873	0.555	0.437	1.0
2.877336	0.555	0.438	1.0
2.887799	0.556	0.440	1.0
2.898262	0.556	0.440	1.0
2.908725	0.557	0.440	1.0
2.919188	0.555	0.439	1.0
2.929651	0.555	0.439	1.0
2.940114	0.557	0.441	1.0
2.950577	0.557	0.443	1.0
2.961040	0.557	0.444	1.0
2.971503	0.557	0.443	1.0
2.981966	0.557	0.442	1.0
2.992429	0.557	0.442	1.0
3.002892	0.557	0.442	1.0
3.013355	0.557	0.443	1.0
3.023818	0.557	0.443	1.0
3.034281	0.557	0.444	1.0
3.044744	0.557	0.444	1.0
3.055207	0.556	0.443	1.0
3.065670	0.556	0.444	1.0
3.076133	0.556	0.445	1.0
3.086597	0.555	0.443	1.0
3.097060	0.554	0.445	1.0
3.107523	0.555	0.445	1.0
3.117986	0.555	0.445	1.0
3.128449	0.556	0.443	1.0
3.138912	0.555	0.443	1.0
3.149375	0.556	0.443	1.0
3.159838	0.555	0.446	1.0
3.170301	0.556	0.444	1.0
3.180764	0.582	0.443	1.0
3.191227	0.608	0.447	1.0
3.201690	0.622	0.444	1.0
3.212153	0.622	0.445	1.0
3.222616	0.621	0.444	1.0
3.233079	0.622	0.445	1.0
3.243542	0.622	0.446	1.0
3.254005	0.621	0.446	1.0
3.264468	0.622	0.447	1.0
3.274931	0.622	0.447	1.0
3.285394	0.621	0.447	1.0
3.295857	0.621	0.447	1.0
3.306320	0.622	0.448	1.0
3.316783	0.621	0.445	1.0
3.327246	0.622	0.445	1.0
3.337709	0.622	0.448	1.0
3.348173	0.622	0.446	1.0
3.358636	0.622	0.446	1.0
3.369099	0.622	0.448	1.0
3.379562	0.621	0.446	1.0
3.390025	0.622	0.447	1.0
3.400488	0.621	0.445	1.0
3.410951	0.621	0.446	1.0
3.421414	0.620	0.445	1.0
3.431877	0.621	0.447	1.0
3.442340	0.621	0.447	1.0
3.452803	0.621	0.446	1.0
3.463266	0.621	0.445	1.0
3.473729	0.621	0.443	1.0
3.484192	0.621	0.442	1.0
3.494655	0.621	0.440	1.0
3.505118	0.620	0.442	1.0
3.515581	0.620	0.442	1.0
3.526044	0.621	0.443	1.0
3.536507	0.619	0.446	1.0
3.546970	0.617	0.446	1.0
3.557433	0.598	0.446	1.0
3.567896	0.580	0.446	1.0
3.578359	0.565	0.442	1.0
3.588822	0.556	0.441	1.0
3.599285	0.555	0.443	1.0
3.609749	0.555	0.442	1.0
3.620212	0.557	0.441	1.0
3.630675	0.558	0.445	1.0
3.641138	0.558	0.444	1.0
3.651601	0.558	0.443	1.0
3.662064	0.557	0.444	1.0
3.672527	0.557	0.444	1.0
3.682990	0.557	0.445	1.0
3.693453	0.558	0.445	1.0
3.703916	0.558	0.446	1.0
3.714379	0.559	0.449	1.0
3.724842	0.558	0.450	1.0
3.735305	0.558	0.449	1.0
3.745768	0.558	0.450	1.0
3.756231	0.559	0.447	1.0
3.766694	0.559	0.447	1.0
3.777157	0.559	0.447	1.0
3.787620	0.560	0.449	1.0
3.798083	0.557	0.448	1.0
3.808546	0.559	0.449	1.0
3.819009	0.558	0.448	1.0
3.829472	0.558	0.449	1.0
3.839935	0.558	0.449	1.0
3.850398	0.559	0.449	1.0
3.860861	0.559	0.449	1.0
3.871325	0.559	0.448	1.0
3.881788	0.559	0.448	1.0
3.892251	0.559	0.449	1.0
3.902714	0.559	0.449	1.0
3.913177	0.560	0.449	1.0
3.923640	0.559	0.449	1.0
3.934103	0.560	0.449	1.0
3.944566	0.559	0.450	1.0
3.955029	0.568	0.448	1.0
3.965492	0.602	0.439	1.0
3.975955	0.633	0.436	1.0
3.986418	0.636	0.440	1.0
3.996881	0.633	0.447	1.0
4.007344	0.634	0.449	1.0
4.017807	0.634	0.447	1.0
4.028270	0.635	0.448	1.0
4.038733	0.635	0.452	1.0
4.049196	0.635	0.450	1.0
4.059659	0.636	0.448	1.0
4.070122	0.636	0.451	1.0
4.080585	0.636	0.450	1.0
4.091048	0.635	0.451	1.0
4.101511	0.636	0.451	1.0
4.111974	0.637	0.452	1.0
4.122437	0.637	0.455	1.0
4.132901	0.637	0.453	1.0
4.143364	0.636	0.453	1.0
4.153827	0.636	0.452	1.0
4.164290	0.636	0.451	1.0
4.174753	0.637	0.452	1.0
4.185216	0.636	0.456	1.0
4.195679	0.637	0.455	1.0
4.206142	0.637	0.457	1.0
4.216605	0.638	0.455	1.0
4.227068	0.638	0.456	1.0
4.237531	0.639	0.456	1.0
4.247994	0.639	0.456	1.0
4.258457	0.640	0.454	1.0
4.268920	0.639	0.455	1.0
4.279383	0.640	0.457	1.0
4.289846	0.640	0.456	1.0
4.300309	0.639	0.456	1.0
4.310772	0.640	0.455	1.0
4.321235	0.641	0.454	1.0
4.331698	0.640	0.454	1.0
4.342161	0.640	0.453	1.0
4.352624	0.640	0.452	1.0
4.363087	0.639	0.452	1.0
4.373550	0.626	0.448	1.0
4.384013	0.615	0.446	1.0
4.394477	0.614	0.451	1.0
4.404940	0.616	0.449	1.0
4.415403	0.615	0.447	1.0
4.425866	0.616	0.449	1.0
4.436329	0.615	0.449	1.0
4.446792	0.615	0.447	1.0
4.457255	0.616	0.447	1.0
4.467718	0.616	0.451	1.0
4.478181	0.615	0.451	1.0
4.488644	0.615	0.451	1.0
4.499107	0.613	0.449	1.0
4.509570	0.613	0.451	1.0
4.520033	0.613	0.451	1.0
4.530496	0.612	0.450	1.0
4.540959	0.613	0.452	1.0
4.551422	0.613	0.454	1.0
4.561885	0.614	0.453	1.0
4.572348	0.613	0.453	1.0
4.582811	0.613	0.454	1.0
4.593274	0.614	0.452	1.0
4.603737	0.613	0.453	1.0
4.614200	0.612	0.453	1.0
4.624663	0.612	0.452	1.0
4.635126	0.611	0.453	1.0
4.645589	0.612	0.453	1.0
4.656053	0.612	0.451	1.0
4.666516	0.611	0.453	1.0
4.676979	0.611	0.458	1.0
4.687442	0.612	0.456	1.0
4.697905	0.611	0.456	1.0
4.708368	0.611	0.453	1.0
4.718831	0.611	0.455	1.0
4.729294	0.611	0.453	1.0
4.739757	0.611	0.457	1.0
4.750220	0.610	0.456	1.0
4.760683	0.610	0.456	1.0
4.771146	0.610	0.454	1.0
4.781609	0.609	0.456	1.0
4.792072	0.610	0.455	1.0
4.802535	0.609	0.458	1.0
4.812998	0.609	0.458	1.0
4.823461	0.610	0.461	1.0
4.833924	0.609	0.459	1.0
4.844387	0.610	0.459	1.0
4.854850	0.610	0.460	1.0
4.865313	0.609	0.458	1.0
4.875776	0.611	0.458	1.0
4.886239	0.611	0.461	1.0
4.896702	0.611	0.461	1.0
4.907165	0.610	0.461	1.0
4.917629	0.608	0.461	1.0
4.928092	0.609	0.461	1.0
4.938555	0.609	0.459	1.0
4.949018	0.608	0.461	1.0
4.959481	0.608	0.463	1.0
4.969944	0.608	0.467	1.0
4.980407	0.609	0.466	1.0
4.990870	0.609	0.466	1.0
5.001333	0.610	0.465	1.0
5.011796	0.610	0.466	1.0
5.022259	0.610	0.468	1.0
5.032722	0.610	0.468	1.0
5.043185	0.611	0.469	1.0
5.053648	0.612	0.470	1.0
5.064111	0.612	0.469	1.0
5.074574	0.610	0.470	1.0
5.085037	0.611	0.470	1.0
5.095500	0.611	0.470	1.0
5.105963	0.611	0.470	1.0
5.116426	0.611	0.471	1.0
5.126889	0.611	0.471	1.0
