time	x_norm	y_norm	confidence
0.000000	0.936	0.114	0.0
0.010080	0.479	0.459	0.83411296029314907
0.020160	0.496	0.455	0.59929951120827707
0.030240	0.469	0.609	0.98999999999999999
0.040320	0.465	0.646	1.0
0.050400	0.464	0.679	1.0
0.060480	0.459	0.685	1.0
0.070560	0.460	0.687	1.0
0.080640	0.455	0.684	1.0
0.090720	0.454	0.683	1.0
0.100800	0.451	0.680	1.0
0.110880	0.447	0.679	1.0
0.120960	0.446	0.678	1.0
0.131040	0.445	0.679	1.0
0.141120	0.444	0.677	1.0
0.151200	0.448	0.675	1.0
0.161280	0.434	0.673	1.0
0.171360	0.414	0.676	1.0
0.181440	0.416	0.686	0.71100481386114689
0.191520	0.934	0.114	0.0
0.201600	0.934	0.114	0.0
0.211680	1.793	0.598	0.80436311755032563
0.221760	0.935	0.114	0.0
0.231840	0.935	0.114	0.0
0.241920	0.935	0.114	0.0
0.252000	0.935	0.114	0.0
0.262080	0.935	0.115	0.0
0.272160	0.935	0.115	0.0
0.282240	0.371	0.352	0.98999999999999999
0.292320	0.382	0.358	0.90624742165307381
0.302400	0.400	0.530	1.0
0.312480	0.404	0.573	1.0
0.322560	0.408	0.601	1.0
0.332640	0.406	0.602	1.0
0.342720	0.402	0.602	1.0
0.352800	0.399	0.603	1.0
0.362880	0.397	0.599	1.0
0.372960	0.396	0.597	1.0
0.383040	0.392	0.597	1.0
0.393120	0.390	0.596	1.0
0.403200	0.388	0.598	1.0
0.413280	0.386	0.601	1.0
0.423360	0.384	0.599	1.0
0.433440	0.384	0.599	1.0
0.443520	0.382	0.599	1.0
0.453600	0.380	0.600	1.0
0.463680	0.380	0.597	1.0
0.473760	0.379	0.600	1.0
0.483840	0.377	0.603	1.0
0.493920	0.376	0.604	1.0
0.504000	0.376	0.602	1.0
0.514080	0.364	0.566	1.0
0.524160	0.356	0.513	1.0
0.534240	0.358	0.503	1.0
0.544320	0.360	0.503	1.0
0.554400	0.359	0.505	1.0
0.564480	0.356	0.505	1.0
0.574560	0.358	0.505	1.0
0.584640	0.356	0.509	1.0
0.594720	0.356	0.508	1.0
0.604800	0.356	0.507	1.0
0.614880	0.355	0.508	1.0
0.624960	0.355	0.510	1.0
0.635040	0.355	0.510	1.0
0.645120	0.353	0.511	1.0
0.655200	0.354	0.511	1.0
0.665280	0.353	0.511	1.0
0.675360	0.351	0.514	1.0
0.685440	0.352	0.518	1.0
0.695520	0.352	0.520	1.0
0.705600	0.353	0.517	1.0
0.715680	0.352	0.518	1.0
0.725760	0.355	0.521	1.0
0.735840	0.362	0.513	1.0
0.745920	0.369	0.510	1.0
0.756000	0.391	0.514	1.0
0.766080	0.429	0.531	1.0
0.776160	0.455	0.424	0.97649780615050341
0.786240	0.438	0.288	0.66481903253208141
0.796320	0.933	0.113	0.0
0.806400	0.933	0.113	0.0
0.816480	0.448	0.322	0.68055749584356073
0.826560	0.441	0.323	0.92042668515747916
0.836640	0.444	0.329	0.932655610918533
0.846720	0.442	0.510	1.0
0.856800	0.440	0.536	1.0
0.866880	0.436	0.538	1.0
0.876960	0.433	0.542	1.0
0.887040	0.431	0.540	1.0
